state,enrollment_2019_20,enrollment_2021_22
CALIFORNIA,38532,52628
NEW YORK,33013,54414
LOUISIANA,31650,35222
NORTH CAROLINA,149173,160528
WASHINGTON,20844,32056
COLORADO,7880,10502
GEORGIA,77993,91142
MINNESOTA,20701,27801
WISCONSIN,21644,29402
NEW HAMPSHIRE,2955,4185
MASSACHUSETTS,7802,13090
MONTANA,5815,7368
DELAWARE,3091,4445
NORTH DAKOTA,3443,4247
DISTRICT OF COLUMBIA,389,1159
SOUTH DAKOTA,5342,7414
SOUTH CAROLINA,20611,30474
RHODE ISLAND,1931,3184
TENNESSEE,11395,13642
PENNSYLVANIA,25979,39847
FLORIDA,106115,152109
